id,groupId,userId,text,status,type,imageURL,approved,officialReply,category,date
167,1,0,"Can we get larger serving spoons for the Arbuckle salad station? If we're paying by weight, I dont get why the spoons are so small. Pretty sure they contribute to the line moving so slowly. ",queue,,,1,,"Facilities and Hospitality","2017-04-18 19:28:21"
168,1,0,"There is absolutely no security entering Schwab from the back courtyard. Seems to defeat the purpose of having key cards in the side doors and a front desk if anyone can get into the Schwab buildings ",new,,,1,,"Student Life","2017-04-18 19:28:23"
169,1,0,"why does it take so long to get a physical therapy appointment through vaden? seems like cardinal care should cover being able to get in within a couple of days, but I've been told it takes weeks. ",queue,,,1,,"Student Life","2017-04-20 02:59:55"
170,1,0,"We need a mini-mart or kiosk that sells basic groceries closer to the residences where we can buy milk/toast/etc instead of having to go to a grocery store or Tressider for a single item. Just basic t",new,,,1,,"Student Life","2017-04-20 03:00:06"
183,1,0,"Gsb printers do not have the option to home punch and staple. ",queue,,,1,,Technology,"2017-04-24 22:14:08"
184,1,0,"Move 8:30 - 11:20 classes to 9am - 11:50. I promise we will participate more if you let us sleep in!",queue,,,1,,Academic,"2017-04-24 22:20:30"
185,1,0,"GSB seats aren't very comfortable or supporting, and the desks are very high. Is anyone else generally uncomfortable in class? Some days I have to sit in the same seat for 5 hours in a row and it's painful.",queue,,,1,,"Facilities and Hospitality","2017-04-24 22:24:26"
186,1,0,"We should be able to provide course feedback AFTER the final exam",queue,,,1,,Academic,"2017-04-24 22:26:58"
187,1,0,"Can we test providing better vegetarian protein options than tofu?",queue,,,1,,"Facilities and Hospitality","2017-04-25 17:36:45"
188,1,0,"Need to have a formal process for allowing missed classes for interviews. The goal of GSB is to get a job, and scheduling interviews that never conflict is impossible. ",new,,,1,,Career,"2017-04-25 19:56:17"
189,1,0,"Want more widespread acceptance of using tablets to take notes in class",queue,,,1,,Academic,"2017-04-25 19:56:19"
194,1,0,"Require professors to publish numeric  cutoffs and numbers of grades in each category for every class. ",queue,,,1,,Academic,"2017-05-08 20:20:18"
195,1,0,"Need a white zone or pickup zone in front of Highland for Uber and Lyft pickups. ",complete,,,1,"This is coming! As part of the construction at Serra and Campus. Will try to get an ETA.","Facilities and Hospitality","2017-05-08 20:20:30"
196,1,0,"Arbuckle iced coffee is expensive considering how much ice you need to put in it for it to actually be ICED",queue,,,1,,"Facilities and Hospitality","2017-05-08 20:20:31"
197,1,0,"Could we get calorie labels or estimates for Arbuckle lunch items?",queue,,,1,,"Facilities and Hospitality","2017-05-08 20:20:33"
198,1,0,"Require professors to give us written feedback AND post a numeric score for any assignment over 10% (or 20%) of our overall grade.",queue,,,1,,Academic,"2017-05-08 20:20:39"
199,1,0,"Computers in RAIL lab do not have printers connected (i.e. Can't print from the rail lab)",queue,,,1,,Technology,"2017-05-08 22:00:31"
200,1,0,"Arbuckle needs everything bagels and better cream cheese (e.g., scallion)",queue,,,1,,"Facilities and Hospitality","2017-05-11 23:02:00"
201,1,0,"Some of the bass computers log on to "win" while others log on to "vm ware". They have different personal document repositories which is annoying...",queue,,,1,,Technology,"2017-05-11 23:02:06"
202,1,0,"Demarzo needs to be more than 4 units",queue,,,1,,Academic,"2017-05-11 23:02:09"
203,1,0,"Stand up outdoor work places with electricity connection. The end of neck pain and nature defecit disorder",queue,,,1,,Technology,"2017-05-11 23:02:14"
204,1,0,"Leftover foods from BBLs and events should be placed in the MBA lounge instead of thrown away",queue,,,1,,"Facilities and Hospitality","2017-05-11 23:02:21"
205,1,0,"We should create a system where people sign up to take notes at BBLs they attend and benefit from others in the community posting theirs",queue,,,1,,Academic,"2017-05-11 23:02:24"
206,1,0,"The urinals in the GSB should have splash guards. I'm tired of pissing all over myself from the splashback.",queue,,,1,,"Facilities and Hospitality","2017-05-11 23:02:26"
221,1,0,"move schwab and highland move out date to after graduation.",queue,,,1,,"Student Life","2017-05-18 17:57:06"
222,1,0,"How can it possibly take 6 days for the registration algorithm to run?",queue,,,1,,Academic,"2017-05-18 17:57:08"
223,1,0,"Would be great to have a water and ice machine in Highland / Schwab (and maybe seltzer...?)",queue,,,1,,"Facilities and Hospitality","2017-05-18 17:57:12"
224,1,0,"Keep the lemons out the entire day in Arbuckle (for soda water + lemon...the most popular drink at Arbuckle!)",queue,,,1,,"Facilities and Hospitality","2017-05-18 17:57:21"
225,1,0,"Urinals in men's restrooms smell horrible. Add restroom air freshners!",queue,,,1,,"Facilities and Hospitality","2017-05-18 17:57:23"
226,1,0,"No more dogs @ TALK. Total distraction and disrespectul to TALKer. ",queue,,,1,,Academic,"2017-05-18 17:57:28"
227,1,0,"Highland always runs out of herbal (non caffeinated) tea! Especially on TALK night",queue,,,1,,"Facilities and Hospitality","2017-05-18 17:57:30"
228,1,0,"We need GSB hammocks.",queue,,,1,,"Facilities and Hospitality","2017-05-18 17:57:32"
229,1,0,"Companies that recruit on campus (OCR) should be required to provide post-interview feedback to candidates ",queue,,,1,,Career,"2017-05-18 17:57:34"
